File,Method Name,Cyclomatic Complexity,Source Lines of Code,Mutant Density
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_report_error, 1, 12, 1
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_get_groups, 10, 40, 4
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_lib_version, 3, 10, 2
3rdparty/ittnotify/src/ittnotify/jitprofiling.c, iJIT_GetNewMethodID, 1, 7, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_byteout, 2, 10, 6
3rdparty/openjpeg/openjp2/bio.c, opj_bio_bytein, 2, 10, 6
3rdparty/openjpeg/openjp2/bio.c, opj_bio_putbit, 1, 9, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_getbit, 1, 9, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_flush, 3, 12, 3
3rdparty/openjpeg/openjp2/bio.c, opj_bio_inalign, 2, 10, 3
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_data, 12, 81, 18
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_data, 5, 34, 3
3rdparty/openjpeg/openjp2/cio.c, opj_stream_flush, 2, 20, 3
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_skip, 9, 51, 12
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_skip, 5, 29, 6
3rdparty/openjpeg/openjp2/cio.c, opj_stream_has_seek, 0, 4, 2
3rdparty/openjpeg/openjp2/function_list.c, opj_procedure_list_add_procedure, 2, 27, 3
3rdparty/openjpeg/openjp2/image.c, opj_image_create, 6, 42, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_check_poc_val, 11, 65, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_num_tp, 7, 42, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_soc, 2, 16, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_siz, 4, 72, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_com, 3, 46, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_cod, 5, 59, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_coc, 4, 37, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_compare_coc, 1, 14, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_coc_in_memory, 1, 39, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcd, 5, 48, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcc, 4, 37, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_qcc_in_memory, 1, 35, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_poc, 4, 46, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_poc_in_memory, 2, 67, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_ppm, 7, 56, 16
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_tlm, 3, 45, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_sot, 2, 39, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_sot_values, 1, 24, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_sot, 37, 224, 63
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_sod, 11, 91, 11
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_sod, 13, 104, 19
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_rgn, 2, 49, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_eoc, 2, 19, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_update_rates, 20, 126, 19
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_unk, 7, 48, 15
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mct_record, 3, 50, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mcc_record, 8, 90, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_mcc, 31, 188, 67
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_mco, 4, 50, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_add_mct, 11, 64, 15
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_cbd, 4, 48, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_threads, 4, 16, 7
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_default_thread_count, 6, 23, 14
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_cinema_parameters, 13, 113, 30
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_is_cinema_compliant, 8, 55, 18
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_imf_max_NL, 16, 49, 27
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_imf_parameters, 18, 58, 48
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_is_imf_compliant, 106, 407, 273
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_setup_encoder, 122, 559, 147
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_add_mhmarker, 2, 25, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_add_tlmarker, 4, 38, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_mct_validation, 4, 28, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_setup_mct_encoding, 15, 130, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_encoding_validation, 4, 32, 19
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_decoding_validation, 0, 17, 7
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_header_procedure, 23, 135, 50
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_marker_handler, 2, 11, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_destroy, 7, 52, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_tcp_destroy, 13, 57, 16
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_cp_destroy, 7, 40, 8
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_need_nb_tile_parts_correction, 18, 76, 30
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_tile_header, 51, 235, 91
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_decode_tile, 14, 74, 26
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_update_image_data, 30, 156, 72
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_update_image_dimensions, 7, 45, 18
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_decoded_components, 7, 53, 9
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_set_decode_area, 22, 127, 47
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_compare_SPCod_SPCoc, 9, 41, 24
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_SPCod_SPCoc, 4, 51, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_SPCod_SPCoc, 18, 112, 36
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_copy_tile_component_parameters, 2, 27, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_get_SQcd_SQcc_size, 2, 22, 6
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_compare_SQcd_SQcc, 9, 41, 21
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_write_SQcd_SQcc, 6, 57, 12
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_read_SQcd_SQcc, 17, 95, 30
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_copy_tile_quantization_parameters, 2, 23, 3
3rdparty/openjpeg/openjp2/j2k.c, opj_j2k_dump_tile_info, 5, 42, 3
3rdparty/openjpeg/openjp2/j2k.c, j2k_dump_image_header, 3, 27, 173
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_ihdr, 8, 60, 25
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_ihdr, 1, 35, 2
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_bpcc, 2, 28, 2
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_bpcc, 3, 26, 6
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_cdef, 2, 39, 2
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_colr, 7, 52, 8
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_check_color, 38, 116, 54
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_pclr, 16, 96, 21
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_cmap, 5, 46, 5
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_apply_cdef, 11, 47, 24
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_cdef, 7, 56, 9
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_colr, 14, 104, 32
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_decode, 15, 53, 15
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_jp2h, 13, 81, 17
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_ftyp, 3, 38, 5
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_jp2c, 3, 30, 3
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_write_jp, 1, 17, 3
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_setup_encoder, 31, 151, 45
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_default_validation, 2, 27, 30
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_header_procedure, 20, 137, 32
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_find_handler, 2, 11, 3
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_skip_jp2c, 1, 13, 3
3rdparty/openjpeg/openjp2/jp2.c, opj_jpip_skip_iptr, 1, 13, 3
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_boxhdr_char, 7, 55, 21
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_read_header, 6, 34, 6
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_get_tile, 14, 55, 15
3rdparty/openjpeg/openjp2/jp2.c, opj_jp2_create, 5, 31, 2
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_setbits, 1, 8, 3
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_flush, 1, 11, 3
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_bypass_enc, 3, 17, 9
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_bypass_get_extra_bytes, 4, 5, 9
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_bypass_flush_enc, 11, 20, 27
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_restart_init_enc, 1, 12, 3
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_erterm_enc, 2, 13, 6
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_init_dec, 1, 16, 3
3rdparty/openjpeg/openjp2/mqc.c, opj_mqc_byteout, 3, 31, 9
3rdparty/openjpeg/openjp2/openjpeg.c, opj_codec_set_threads, 2, 9, 3
3rdparty/openjpeg/openjp2/opj_malloc.c, opj_malloc, 1, 7, 3
3rdparty/openjpeg/openjp2/opj_malloc.c, opj_calloc, 2, 7, 6
3rdparty/openjpeg/openjp2/opj_malloc.c, opj_realloc, 1, 7, 3
3rdparty/openjpeg/openjp2/pi.c, opj_pi_next_lrcp, 11, 49, 12
3rdparty/openjpeg/openjp2/pi.c, opj_pi_next_rlcp, 11, 48, 12
3rdparty/openjpeg/openjp2/pi.c, opj_pi_next_rpcl, 41, 122, 81
3rdparty/openjpeg/openjp2/pi.c, opj_pi_next_pcrl, 40, 121, 78
3rdparty/openjpeg/openjp2/pi.c, opj_pi_next_cprl, 39, 118, 78
3rdparty/openjpeg/openjp2/pi.c, opj_get_encoding_parameters, 6, 81, 12
3rdparty/openjpeg/openjp2/pi.c, opj_get_all_encoding_parameters, 13, 98, 24
3rdparty/openjpeg/openjp2/pi.c, opj_pi_update_encode_poc_and_final, 2, 57, 3
3rdparty/openjpeg/openjp2/pi.c, opj_pi_check_next_level, 19, 80, 21
3rdparty/openjpeg/openjp2/pi.c, opj_pi_create_encode, 47, 258, 30
3rdparty/openjpeg/openjp2/sparse_array.c, opj_sparse_array_int32_create, 7, 32, 20
3rdparty/openjpeg/openjp2/sparse_array.c, opj_sparse_array_is_region_valid, 5, 9, 18
3rdparty/openjpeg/openjp2/sparse_array.c, opj_sparse_array_int32_read_or_write, 43, 195, 51
3rdparty/openjpeg/openjp2/t2.c, opj_t2_putnumpasses, 5, 14, 15
3rdparty/openjpeg/openjp2/t2.c, opj_t2_getnumpasses, 4, 17, 6
3rdparty/openjpeg/openjp2/t2.c, opj_t2_encode_packets, 26, 129, 26
3rdparty/openjpeg/openjp2/t2.c, opj_t2_decode_packets, 21, 144, 12
3rdparty/openjpeg/openjp2/t2.c, opj_t2_encode_packet, 49, 248, 35
3rdparty/openjpeg/openjp2/t2.c, opj_t2_read_packet_data, 15, 100, 26
3rdparty/openjpeg/openjp2/t2.c, opj_t2_skip_packet_data, 13, 80, 21
3rdparty/openjpeg/openjp2/t2.c, opj_t2_init_seg, 7, 37, 9
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_makelayer, 16, 80, 16
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_makelayer_fixed, 19, 87, 24
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_rateallocate, 33, 154, 40
3rdparty/openjpeg/openjp2/tcd.c, opj_alloc_tile_component_data, 7, 25, 14
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_init_tile, 51, 359, 82
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_get_decoded_tile_size, 10, 47, 13
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_encode_tile, 11, 60, 3
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_decode_tile, 38, 190, 38
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_update_tile_data, 20, 105, 9
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_t2_decode, 2, 29, 2
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_t1_decode, 7, 31, 8
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_dwt_decode, 6, 26, 5
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_mct_decode, 26, 129, 53
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_dc_level_shift_decode, 13, 75, 9
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_get_encoder_input_buffer_size, 3, 25, 3
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_dc_level_shift_encode, 4, 35, 3
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_mct_encode, 7, 46, 6
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_dwt_encode, 5, 21, 6
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_t1_encode, 2, 21, 6
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_t2_encode, 2, 34, 2
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_copy_tile_data, 14, 74, 6
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_is_band_empty, 1, 4, 6
3rdparty/openjpeg/openjp2/tcd.c, opj_tcd_is_subband_area_of_interest, 15, 62, 48
3rdparty/openjpeg/openjp2/tgt.c, opj_tgt_setvalue, 2, 9, 3
3rdparty/openjpeg/openjp2/tgt.c, opj_tgt_encode, 7, 38, 11
3rdparty/openjpeg/openjp2/tgt.c, opj_tgt_decode, 8, 35, 14
3rdparty/openjpeg/openjp2/thread.c, opj_mutex_create, 2, 11, 5
3rdparty/openjpeg/openjp2/thread.c, opj_cond_create, 2, 12, 3
3rdparty/openjpeg/openjp2/thread.c, opj_thread_create, 2, 20, 3
3rdparty/openjpeg/openjp2/thread.c, opj_tls_get, 2, 10, 3
3rdparty/openjpeg/openjp2/thread.c, opj_tls_set, 5, 30, 6
3rdparty/openjpeg/openjp2/thread.c, opj_thread_pool_create, 5, 27, 3
3rdparty/openjpeg/openjp2/thread.c, opj_worker_thread_function, 3, 23, 2
3rdparty/openjpeg/openjp2/thread.c, opj_thread_pool_setup, 8, 51, 16
3rdparty/openjpeg/openjp2/thread.c, opj_thread_pool_get_next_job, 7, 51, 8
3rdparty/openjpeg/openjp2/thread.c, opj_thread_pool_submit_job, 5, 51, 9
3rdparty/openjpeg/openjp2/thread.c, opj_thread_pool_wait_completion, 3, 16, 8
3rdparty/openjpeg/openjp2/thread.c, opj_thread_pool_destroy, 4, 31, 2
3rdparty/protobuf/src/google/protobuf/any.cc, GetAnyFieldDescriptors, 4, 14, 12
3rdparty/protobuf/src/google/protobuf/any_lite.cc, GetTypeUrl, 2, 9, 3
3rdparty/protobuf/src/google/protobuf/any_lite.cc, InternalIs, 2, 6, 6
3rdparty/protobuf/src/google/protobuf/any_lite.cc, ParseAnyTypeUrl, 3, 12, 6
3rdparty/protobuf/src/google/protobuf/arena.cc, AllocateMemory, 3, 22, 5
3rdparty/protobuf/src/google/protobuf/arena.cc, CleanupList, 3, 16, 3
3rdparty/protobuf/src/google/protobuf/arena.cc, InitializeFrom, 2, 9, 5
3rdparty/protobuf/src/google/protobuf/arena.cc, InitializeWithPolicy, 6, 34, 7
3rdparty/protobuf/src/google/protobuf/arenastring.cc, Init, 1, 13, 2
3rdparty/protobuf/src/google/protobuf/arenastring.cc, Set, 4, 18, 2
3rdparty/protobuf/src/google/protobuf/arenastring.cc, ReleaseNonDefault, 2, 21, 2
3rdparty/protobuf/src/google/protobuf/arenastring.cc, SetAllocated, 4, 17, 6
3rdparty/protobuf/src/google/protobuf/arenastring.cc, Destroy, 2, 9, 2
3rdparty/protobuf/src/google/protobuf/arenastring.h, IsNull, 0, 1, 2
3rdparty/protobuf/src/google/protobuf/descriptor.cc, enum_value_descriptor, 2, 9, 6
3rdparty/protobuf/src/google/protobuf/descriptor.cc, type, 1, 4, 2
3rdparty/protobuf/src/google/protobuf/descriptor.cc, IsAggregate, 3, 4, 12
3rdparty/protobuf/src/google/protobuf/descriptor.cc, ToLower, 2, 3, 6
3rdparty/protobuf/src/google/protobuf/descriptor.cc, ToCamelCase, 5, 19, 3
3rdparty/protobuf/src/google/protobuf/descriptor.cc, ToJsonName, 3, 16, 3
