File,Method Name,Cyclomatic Complexity,Source Lines of Code,Mutant Density
3rdparty/ittnotify/src/ittnotify/ittnotify_config.h, __itt_interlocked_increment, 0, 4, 2
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_fsplit, 17, 48, 3
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_get_groups, 10, 40, 1
3rdparty/ittnotify/src/ittnotify/ittnotify_static.c, __itt_lib_version, 3, 10, 2
3rdparty/ittnotify/src/ittnotify/jitprofiling.c, iJIT_GetNewMethodID, 1, 7, 1
3rdparty/openjpeg/openjp2/bio.c, opj_bio_byteout, 2, 10, 6
3rdparty/openjpeg/openjp2/bio.c, opj_bio_bytein, 2, 10, 5
3rdparty/openjpeg/openjp2/bio.c, opj_bio_getbit, 1, 9, 1
3rdparty/openjpeg/openjp2/bio.c, opj_bio_init_enc, 0, 8, 1
3rdparty/openjpeg/openjp2/bio.c, opj_bio_write, 2, 8, 1
3rdparty/openjpeg/openjp2/bio.c, opj_bio_read, 1, 14, 1
3rdparty/openjpeg/openjp2/bio.c, opj_bio_flush, 3, 12, 1
3rdparty/openjpeg/openjp2/bio.c, opj_bio_inalign, 2, 10, 2
3rdparty/openjpeg/openjp2/cio.c, opj_write_bytes_LE, 2, 10, 1
3rdparty/openjpeg/openjp2/cio.c, opj_read_bytes_LE, 2, 11, 1
3rdparty/openjpeg/openjp2/cio.c, opj_write_double_LE, 1, 9, 1
3rdparty/openjpeg/openjp2/cio.c, opj_read_double_LE, 1, 8, 1
3rdparty/openjpeg/openjp2/cio.c, opj_write_float_LE, 1, 9, 1
3rdparty/openjpeg/openjp2/cio.c, opj_read_float_LE, 1, 8, 1
3rdparty/openjpeg/openjp2/cio.c, opj_stream_create, 3, 30, 4
3rdparty/openjpeg/openjp2/cio.c, opj_stream_destroy, 2, 12, 1
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_data, 12, 81, 5
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_data, 5, 34, 2
3rdparty/openjpeg/openjp2/cio.c, opj_stream_flush, 2, 20, 1
3rdparty/openjpeg/openjp2/cio.c, opj_stream_read_skip, 9, 51, 4
3rdparty/openjpeg/openjp2/cio.c, opj_stream_write_skip, 5, 29, 4
3rdparty/openjpeg/openjp2/cio.c, opj_stream_default_read, 0, 8, 1
3rdparty/openjpeg/openjp2/cio.c, opj_stream_default_write, 0, 8, 1
3rdparty/openjpeg/openjp2/cio.c, opj_stream_default_skip, 0, 6, 1
3rdparty/openjpeg/openjp2/event.c, opj_set_default_event_handler, 0, 9, 3
3rdparty/openjpeg/openjp2/function_list.c, opj_procedure_list_create, 2, 16, 3
3rdparty/openjpeg/openjp2/image.c, opj_image_create0, 0, 5, 1
3rdparty/openjpeg/openjp2/image.c, opj_image_create, 6, 42, 1
3rdparty/openjpeg/openjp2/image.c, opj_image_tile_create, 3, 30, 3
3rdparty/openjpeg/openjp2/invert.c, opj_lupSolve, 4, 46, 6
3rdparty/openjpeg/openjp2/invert.c, opj_lupInvert, 2, 24, 1
